,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
54,1117051040205 ,신도림동,1117051,514.5242,81.2233,81.2233,248.8321,166.1907,209.9805
55,1117051040206 ,신도림동,1117051,297.1102,89.8991,89.8991,123.061,81.435,86.6352
56,1117051040207 ,신도림동,1117051,155.3369,32.1871,32.1871,83.9001,45.2614,43.7167
57,1117051040201 ,신도림동,1117051,335.6524,101.8472,101.8472,176.2462,143.9648,193.7852
58,1117051040202 ,신도림동,1117051,197.6451,52.5279,52.5279,112.9884,61.2505,59.1643
59,1117051040203 ,신도림동,1117051,160.5716,23.514,23.514,98.761,58.301,56.9927
60,1117051040208 ,신도림동,1117051,1061.4203,460.8756,460.8756,562.1406,432.211,566.6589
61,1117051040209 ,신도림동,1117051,140.787,31.8719,31.8719,76.9747,41.4831,40.0548
62,1117051040401 ,신도림동,1117051,33.8985,11.4752,11.4752,22.0233,11.557,12.709
63,1117051040402 ,신도림동,1117051,86.4477,25.0169,25.0169,51.5614,27.531,28.2485
64,1117051040502 ,신도림동,1117051,75.3303,52.9642,52.9642,87.3854,77.5267,76.2688
65,1117051040503 ,신도림동,1117051,564.2379,222.1486,222.1486,336.9192,218.3191,214.3085
66,1117051040501 ,신도림동,1117051,251.4843,139.2605,139.2605,172.4593,115.7433,117.3544
67,1117051040601 ,신도림동,1117051,146.5715,230.096,230.096,182.5656,223.068,245.1865
68,1117052010001 ,구로1동,1117052,864.0718,1214.1797,1214.1797,1507.5747,1741.7807,1680.0045
69,1117052010003 ,구로1동,1117052,147.7012,218.4442,218.4442,195.443,156.0707,179.1411
70,1117052010002 ,구로1동,1117052,4295.3034,4534.0201,4534.0201,4563.7013,4406.2906,4215.0561
71,1117052010108 ,구로1동,1117052,238.128,105.2819,105.2819,154.8448,125.7986,126.5383
72,1117052010101 ,구로1동,1117052,128.9724,153.9655,153.9655,147.8838,149.5925,246.0881
73,1117052010103 ,구로1동,1117052,137.9577,20.1336,20.1336,90.0067,64.9365,57.0194
74,1117052010102 ,구로1동,1117052,20.2277,14.9037,14.9037,20.6595,15.3514,14.5875
75,1117052010105 ,구로1동,1117052,116.0215,81.948,81.948,91.4032,65.8059,61.2907
76,1117052010104 ,구로1동,1117052,33.1262,10.2071,10.2071,25.6258,18.6443,16.5085
77,1117052010107 ,구로1동,1117052,299.2274,221.4503,221.4503,240.7849,208.3695,258.818
78,1117052010106 ,구로1동,1117052,274.5487,177.2724,177.2724,181.4569,162.3208,170.4837
79,1117052010201 ,구로1동,1117052,53.2015,19.4602,19.4602,61.4,30.1905,22.421
80,1117052010202 ,구로1동,1117052,99.5195,98.8684,98.8684,77.0545,72.5389,73.1622
81,1117052010301 ,구로1동,1117052,526.3718,190.8008,190.8008,363.8319,274.1199,255.4961
82,1117052010302 ,구로1동,1117052,436.3825,191.7811,191.7811,280.8643,237.1216,235.8523
83,1117052010401 ,구로1동,1117052,419.472,201.4738,201.4738,242.311,185.9128,157.591
84,1117052010501 ,구로1동,1117052,306.277,57.9922,57.9922,156.8823,114.0911,96.7344
85,1117052010601 ,구로1동,1117052,2.989,0.2191,0.2191,1.3909,0.9155,0.9228
86,1117052010701 ,구로1동,1117052,406.6667,213.1113,213.1113,248.7312,208.8803,177.0622
87,1117052010702 ,구로1동,1117052,418.313,192.1214,192.1214,250.249,211.6655,179.5361
88,1117052020001 ,구로1동,1117052,1061.7273,2154.9743,2154.9743,1633.267,1710.2535,1606.8425
89,1117052020006 ,구로1동,1117052,200.6762,410.906,410.906,313.0383,397.5236,359.6787
90,1117052020004 ,구로1동,1117052,25.8293,42.0913,42.0913,72.9564,65.158,56.4425
91,1117052020005 ,구로1동,1117052,,,,,,
92,1117052020003 ,구로1동,1117052,14.5463,50.9583,50.9583,24.241,40.8035,42.9454
93,1117052020102 ,구로1동,1117052,305.3374,170.6561,170.6561,233.1708,190.1279,177.2358
94,1117052020101 ,구로1동,1117052,111.3941,72.236,72.236,87.7129,71.1736,66.4016
95,1117052020204 ,구로1동,1117052,168.899,28.3797,28.3797,78.3076,48.4551,47.1316
96,1117052020205 ,구로1동,1117052,181.6378,39.0687,39.0687,86.6833,53.4159,51.9339
97,1117052020202 ,구로1동,1117052,637.9476,248.2908,248.2908,347.7809,223.728,241.445
98,1117052020203 ,구로1동,1117052,356.8942,78.6123,78.6123,170.8297,105.1052,102.1385
99,1117052020201 ,구로1동,1117052,449.3564,127.5132,127.5132,223.3149,136.6134,132.6564
100,1117052020304 ,구로1동,1117052,583.6238,318.6214,318.6214,421.1765,322.6812,287.8015
101,1117052020305 ,구로1동,1117052,0.4912,0.4393,0.4393,,,
102,1117052020303 ,구로1동,1117052,275.3705,271.4155,271.4155,208.8598,149.0751,132.9016
103,1117052020301 ,구로1동,1117052,411.0876,217.9962,217.9962,260.1105,231.844,243.5766
104,1117052020306 ,구로1동,1117052,1.945,3.0325,3.0325,1.4158,1.5578,1.6126
105,1117052020403 ,구로1동,1117052,334.9295,183.1224,183.1224,239.1601,214.7372,202.4291
106,1117052020401 ,구로1동,1117052,879.3896,628.9937,628.9937,702.1149,645.1418,702.4051
107,1117052020404 ,구로1동,1117052,375.4277,169.0669,169.0669,235.5114,233.0258,245.5445
108,1117052020402 ,구로1동,1117052,455.225,303.533,303.533,350.9784,300.9952,268.8324
109,1117052020501 ,구로1동,1117052,243.0387,135.8499,135.8499,149.7423,123.3146,105.2351
110,1117052020504 ,구로1동,1117052,0.2985,0.2021,0.2021,,,
111,1117052020502 ,구로1동,1117052,0.7756,0.557,0.557,,,
