키,명칭,대분류,주소,행정 시,행정 구,행정 동,대표전화,면적,지정일,교?안내
BE_IW14-0143,푸른수목원,산과공원,(152-140) 서울특별시 구로구 항동 연동로 240( 구주소 : 항동81-1) 푸른수목원관리사무소,서울특별시,구로구,오류2동,02-2686-3200,,,
BE_IW14-0030,개웅산공원,산과공원,서울특별시 구로구 오류동 개봉동 일대,서울특별시,구로구,오류2동,02-860-2321,,,
BE_IW14-0034,고척공원,산과공원,서울특별시 구로구 고척동 산 9-14번지,서울특별시,구로구,고척2동,02-860-2321,,,
